Codigo;Materia;Credito
IM1421;Matemática I;5
IC1222;Fundamentos de la Informática;3
IM1223;Lógica Matemática;3
IH1124;Lenguaje y Comunicación;2
IH1125;Ingles I;2
FC0001;Formacion Constitucional;2
ED0001;Economía Digital;3
IM2421;Matemática II;5
IB2322;Física I;4
IC2323;Algoritmos I;3
IH2124;Problemática Científica Tecnológica;2
IH2125;Ingles II;2
IME120;Electiva I;2
AC0001;Arte y Cultura;2
IM3421;Matemática III;5
IB3322;Física II;4
IC3323;Algoritmos II;3
IC3244;Programación I;4
IH3125;Metodología y Técnicas de Investigación;2
IME620;Electiva II;2
IM5421;Matemática IV;5
IM5421;Probabilidad y Estadística;3
IM4323;Estructuras Discretas I;4
IC4244;Programación II;4
IS4225;Base de Datos;3
IME720;Electiva III;2
IC5422;Organización del Computador;5
IM5221;Algebra Booleana;3
IM5323;Estructuras Discretas II;4
IC5244;Programación III;4
IS5205;Teoría de Sistemas;2
IMEIV;Electiva IV;2
IC6322;Arquitectura del Computador;4
IM6243;Métodos Numéricos;4
ID6241;Investigación de Operaciones;4
ID6124;Ingeniería Económica;2
IS6425;Sistemas de Información I;5
IMEV;Electiva V;2
IC7322;Sistemas Operativos;4
ID7322;Control de Proyectos;4
ID7323;Gestión Empresarial;4
IS7244;Traductores e Interpretes;4
IS7324;Sistemas de Información II;5
IT8241;Redes;4
ID8082;Pasantías;4
EA;Electiva de Área I;4
IS8243;Lenguajes de Programación;4
IS8424;Sistemas de Información III;5
IT9241;Sistemas Distribuidos;4
PG9083;Proyecto de Grado I;4
EA0244;Electiva de Área II;4
EL9325;Electiva Libre I;4
IH9202;Ética Profesional;2
DP0001;Deportes;2
ID0221;Gerencia de Proyectos;3
PG0083;Proyecto de Grado II;4
EA9244;Electiva de Área III;4
EL;Electiva Libre II;3
IS0222;Informática Educativa;3
INT122;Inglés Técnico;2
TED122;Técnicas de Estudio y Documentación;2
GED143;Geometría Descriptiva I;3
CAL164;Calculo I;4
MRL122;Métodos del Razonamiento Lógico;2
AYC122;Arte y Cultura;2
CAL264;Calculo II;4
ICH233;Introducción a las Ciencias Humanas;3
FIS264;Física I;4
GED243;Geometría Descriptiva II;3
SCT222;Sociedad Ciencia y Tecnología;2
FIS344;Física II;4
QUB364;Química Básica;4
CAL364;Calculo III;4
MER363;Mecánica Racional I;4
DEP322;Deportes;2
IPI384;Informática para Ingenieros;3
MER464;Mecánica Racional II;4
QUA464;Química Aplicada;4
TOP475;Topografía;4
CAL464;Calculo IV;4
EPI443;Estadística para Ingenieros;3
ENT422;Electiva No Técnica;2
GEA543;Geología Aplicada;3
REM564;Resistencia de Materiales;4
ENT522;Electiva No Técnica II;2
MAE564;Materiales y Ensayos;4
MEF564;Mecánica de Fluidos I;4
CAL564;Calculo V;4
MES675;Mecánica de Suelos;4
HSA643;H & San Ambiental;3
TEE664;Teorías de Estructuras I;4
DIP622;Dibujo de Proyectos;2
HID622;Hidrología;4
MEF864;Mecánica de Fluidos II;4
TEE764;Teorías de Estructuras II;4
INE743;Ingeniería Económica;3
IPE764;Instalaciones para Edificios;4
MEI722;Metodología de la Investigación;3
ACC775;Acueductos y Cloacas;4
ET722;Electiva Técnica;2
ET822;Electiva Técnica II;2
OBH864;Obras Hidráulicas;4
PRP843;Práctica Profesional;3
COA864;Concreto Armado;4
VIC864;Vías de Comunicación I;4
PEA864;Proyectos Estructurales de Acero;4
PRC964;Práctica Comunitaria;4
TEG990;Trabajo Especial de Grado I;4
COP943;Concreto Pretenzado;4
FUM964;Fundaciones y Muros;4
VIC964;Vías de Comunicación II;4
PEC1064;Proyectos Estructurales de Concreto;4
TEG1066;Trabajo Especial de Grado II;4
AD1022;Administración de Obras;4
PAV1064;Pavimentos;2
PUE1043;Puentes;4
FSP132;Formación Socio Política I;2
PRC164;Proyecto Comunitario Socio Energético I;3
DTD133;Dibujo Técnico y Descriptiva;3
MAT184;Matemática I;4
ING122;Ingles Técnico;2
QIN173;Química Inorgánica;4
OIP122;Orientación a la Ingeniería del Petróleo y Gas Natural;2
AYC122;Arte y Cultura;2
INF243;Informática;2
MAT284;Matemática II;4
FIS273;Física I;4
QUO263;Química Orgánica;4
FSP232;Formación Socio Política II;2
PRC264;Proyecto Comunitario Socio Energético II;3
DPT222;Deporte;2
FSP332;Formación Socio Política III;2
PRC364;Proyecto Comunitario Socio Energético III;3
FIS343;Física II;4
GEG364;Geología General;4
MAT384;Matemática III;4
LBF343;Laboratorio de Física;3
FSP432;Formación Socio Política IV;2
PRC464;Proyecto Comunitario Socio Energético IV;3
MRF464;Mecánica de las Rocas y de los Fluidos;4
PRE444;Probabilidades y Estadísticas;4
TGA644;Termodinámica General y Aplicada;4
CFY473;Caracterización Física de los Yacimientos;4
SCG544;Sistema de Compresión de Gas;3
FSP532;Formación Socio Política (Legislación Petrolera);2
PRC564;Proyecto Socio Comunitario Socio Energético V;3
PEP573;Perforación de Pozos;3
CEY534;Caracterización Energética de los Yacimientos;4
TDH543;Transporte y Distribución de Hidrocarburos;3
GEE533;Geología Estructural;3
FSP632;Formación Socio Política (Integración con el Comercio Internacional);2
PRC664;Proyecto Comunitario Socio Energético VI;3
SGI643;Seguridad Industrial;4
CDY633;Caracterización Dinámica de los Yacimientos;3
PEP634;Perfilaje de Pozos;3
COP634;Competación de Pozos;3
ING534;Recuperación Secundaria de Yacimientos;3
PRC764;Proyecto Comunitario Socio Energético VII;3
GEP734;Geología de Producción;3
INP744;Ingeniería de Producción I;3
PIR723;Protección Integral de Riesgos;3
ELP723;Electiva Profesional (Corrosión e Integridad Mecánica);3
EAA723;Evaluación y Auditoría Ambiental;3
TRC743;Transferencia de Calor;3
PRP873;Procesos Petroquímicos;3
PRC864;Proyecto Comunitario Socio Energético VIII;3
ELP822;Electiva Profesional (Gestión y Control de Calidad);2
INP644;Ingeniería de Producción II;4
SNY863;Simulación Numérica de Yacimientos;3
PRR874;Procesos de Refinación;4
TEG9;Trabajo Especial de Grado;9
REM833;Recuperación Mejorada;3
MG5107;Histología Embriología y Genética;4
MG5702;Bioética I;0
MG5701;Medicina General I;2
MG5812;Deportes, Arte y Cultura;2
MG5310;Metodología de la Investigación Científica;2
MG5809;Ingles Instrumental;2
MG5304;Medicina Preventiva, Comunitaria y Familiar I;2
MG5106;Anatomía Humana;3
MG5508;Historia de la Medicina;1
MG5411;Antropología;2
MG5516;Microbiología;3
MG0012;Deportes, Arte y Cultura II;2
MG5418;Bioquímica;4
MG5714;Medicina General II;3
MG5220;Psicología y Sociología Gral;2
MG5324;Estadística y Demografía Médica II;2
MG5417;Fisiología y Biofísica;4
MG5119;Informática;2
MG5115;Medicina Preventiva, Comunitaria y Familiar II;2
MG5245;Derecho Constitucional;2
MG5117;Medicina Preventiva, Comunitaria y Familiar III;4
MG5521;Parasitología;2
MG5420;Semiología Médico Quirúrgica;4
MG5722;Farmacología;4
MG5641;Inteligencia Ética/Deontología Práctica Médica;2
MG5419;Fisiopatología;4
MG5429;Nutrición;2
MG5223;Psicología Médica General;2
MG5716;Medicina General III;2
MG0001;Psicopatología;2
MG5727;Clínica Obstetrica y Ginecología I;3
MG5729;Clínica Quirúrgica I;3
MG5728;Clínica Pediátrica I;3
MG5326;Anatomía Patológica;3
MG5125;Medicina Preventiva Comunitaria y Familiar IV;2
MG5724;Medicina General IV;3
MG0003;Clínica Médica I;3
MG5736;Clínica Quirúrgica II;3
MG5731;Medicina General V;2
MG5735;Clínica Pediátrica II;3
